cluster	gene	probability
1	ENSDARG00000053617	0.7639
1	ENSDARG00000053890	0.6001
1	ENSDARG00000053906	0.5707
1	ENSDARG00000053987	0.7263
1	ENSDARG00000054124	0.6934
1	ENSDARG00000054186	0.7687
1	ENSDARG00000054191	0.3077
1	ENSDARG00000054302	0.6365
1	ENSDARG00000054458	0.7913
1	ENSDARG00000054683	0.1152
1	ENSDARG00000054794	0.7728
1	ENSDARG00000054858	0.7097
1	ENSDARG00000054907	0.4199
1	ENSDARG00000054941	0.7915
1	ENSDARG00000054942	0.4046
1	ENSDARG00000054950	0.7904
1	ENSDARG00000054978	0.7183
1	ENSDARG00000055075	0.1781
1	ENSDARG00000055129	0.7886
1	ENSDARG00000055223	0.8066
1	ENSDARG00000055288	0.7877
1	ENSDARG00000055339	0.1174
1	ENSDARG00000055388	0.1596
1	ENSDARG00000055395	0.8043
1	ENSDARG00000055412	0.7951
1	ENSDARG00000055459	0.7259
1	ENSDARG00000055642	0.7324
1	ENSDARG00000055652	0.7367
1	ENSDARG00000055656	0.7847
1	ENSDARG00000055676	0.4685
1	ENSDARG00000055781	0.7945
1	ENSDARG00000055791	0.8018
1	ENSDARG00000055792	0.3294
1	ENSDARG00000055798	0.7620
1	ENSDARG00000055843	0.7929
1	ENSDARG00000056001	0.7818
1	ENSDARG00000056004	0.7966
1	ENSDARG00000056045	0.7171
1	ENSDARG00000056075	0.7907
1	ENSDARG00000056111	0.2586
1	ENSDARG00000056121	0.7883
1	ENSDARG00000056125	0.3228
1	ENSDARG00000056156	0.3048
1	ENSDARG00000056165	0.0473
1	ENSDARG00000056203	0.1315
1	ENSDARG00000056262	0.6142
1	ENSDARG00000056292	0.3671
1	ENSDARG00000056468	0.2992
1	ENSDARG00000056530	0.7647
1	ENSDARG00000056680	0.6476
1	ENSDARG00000056922	0.6079
1	ENSDARG00000056926	0.3772
1	ENSDARG00000057090	0.3121
1	ENSDARG00000057286	0.2696
1	ENSDARG00000057296	0.3274
1	ENSDARG00000057408	0.6732
1	ENSDARG00000057598	0.5261
1	ENSDARG00000057769	0.8106
1	ENSDARG00000057975	0.8027
1	ENSDARG00000058248	0.7904
1	ENSDARG00000058365	0.3576
1	ENSDARG00000058601	0.4207
1	ENSDARG00000058944	0.7809
1	ENSDARG00000059058	0.2217
1	ENSDARG00000059070	0.2756
1	ENSDARG00000059073	0.8048
1	ENSDARG00000059202	0.7934
1	ENSDARG00000059259	0.5271
1	ENSDARG00000059327	0.6419
1	ENSDARG00000059340	0.7994
1	ENSDARG00000059349	0.7032
1	ENSDARG00000059368	0.7796
1	ENSDARG00000059404	0.8051
1	ENSDARG00000059411	0.5851
1	ENSDARG00000059473	0.3387
1	ENSDARG00000059510	0.6267
1	ENSDARG00000059523	0.2928
1	ENSDARG00000059695	0.7801
1	ENSDARG00000059712	0.1099
1	ENSDARG00000059751	0.7631
1	ENSDARG00000059798	0.7259
1	ENSDARG00000059815	0.3973
1	ENSDARG00000059817	0.8039
1	ENSDARG00000059885	0.7509
1	ENSDARG00000059939	0.7361
1	ENSDARG00000060012	0.3653
1	ENSDARG00000060070	0.7570
1	ENSDARG00000060093	0.8107
1	ENSDARG00000060094	0.8071
1	ENSDARG00000060095	0.7973
1	ENSDARG00000060123	0.7710
1	ENSDARG00000060124	0.3821
1	ENSDARG00000060126	0.6969
1	ENSDARG00000060127	0.7981
1	ENSDARG00000060153	0.7982
1	ENSDARG00000060248	0.8005
1	ENSDARG00000060345	0.6534
1	ENSDARG00000060393	0.7555
1	ENSDARG00000060445	0.6235
1	ENSDARG00000060504	0.6905
1	ENSDARG00000060569	0.7821
1	ENSDARG00000060578	0.3619
1	ENSDARG00000060580	0.7906
1	ENSDARG00000060601	0.7918
